Bank_code,Period,Item,Scenario,AMOUNT
0SK1ILSPWNVBNQWU0W18,201612,993422,3,-116
0SK1ILSPWNVBNQWU0W18,201312,993423,1,0
0SK1ILSPWNVBNQWU0W18,201412,993423,2,0
0SK1ILSPWNVBNQWU0W18,201412,993423,3,0
0SK1ILSPWNVBNQWU0W18,201512,993423,2,0
0SK1ILSPWNVBNQWU0W18,201512,993423,3,0
0SK1ILSPWNVBNQWU0W18,201612,993423,2,0
0SK1ILSPWNVBNQWU0W18,201612,993423,3,0
0SK1ILSPWNVBNQWU0W18,201312,993424,1,0
0SK1ILSPWNVBNQWU0W18,201412,993424,2,0
0SK1ILSPWNVBNQWU0W18,201412,993424,3,0
0SK1ILSPWNVBNQWU0W18,201512,993424,2,0
0SK1ILSPWNVBNQWU0W18,201512,993424,3,0
0SK1ILSPWNVBNQWU0W18,201612,993424,2,0
0SK1ILSPWNVBNQWU0W18,201612,993424,3,0
0SK1ILSPWNVBNQWU0W18,201312,993425,1,0
0SK1ILSPWNVBNQWU0W18,201412,993425,2,0
0SK1ILSPWNVBNQWU0W18,201412,993425,3,0
0SK1ILSPWNVBNQWU0W18,201512,993425,2,0
0SK1ILSPWNVBNQWU0W18,201512,993425,3,0
0SK1ILSPWNVBNQWU0W18,201612,993425,2,0
0SK1ILSPWNVBNQWU0W18,201612,993425,3,0
0SK1ILSPWNVBNQWU0W18,201312,993426,1,-4
0SK1ILSPWNVBNQWU0W18,201412,993426,2,-4
0SK1ILSPWNVBNQWU0W18,201412,993426,3,-4
0SK1ILSPWNVBNQWU0W18,201512,993426,2,-3
0SK1ILSPWNVBNQWU0W18,201512,993426,3,-3
0SK1ILSPWNVBNQWU0W18,201612,993426,2,-2
0SK1ILSPWNVBNQWU0W18,201612,993426,3,-2
0SK1ILSPWNVBNQWU0W18,201312,993427,1,0
0SK1ILSPWNVBNQWU0W18,201412,993427,2,0
0SK1ILSPWNVBNQWU0W18,201412,993427,3,0
0SK1ILSPWNVBNQWU0W18,201512,993427,2,0
0SK1ILSPWNVBNQWU0W18,201512,993427,3,0
0SK1ILSPWNVBNQWU0W18,201612,993427,2,0
0SK1ILSPWNVBNQWU0W18,201612,993427,3,0
0SK1ILSPWNVBNQWU0W18,201312,993428,1,0
0SK1ILSPWNVBNQWU0W18,201412,993428,2,0
0SK1ILSPWNVBNQWU0W18,201412,993428,3,0
0SK1ILSPWNVBNQWU0W18,201512,993428,2,0
0SK1ILSPWNVBNQWU0W18,201512,993428,3,0
0SK1ILSPWNVBNQWU0W18,201612,993428,2,0
0SK1ILSPWNVBNQWU0W18,201612,993428,3,0
0SK1ILSPWNVBNQWU0W18,201312,993429,1,-4
0SK1ILSPWNVBNQWU0W18,201412,993429,2,-4
0SK1ILSPWNVBNQWU0W18,201412,993429,3,-4
0SK1ILSPWNVBNQWU0W18,201512,993429,2,-3
0SK1ILSPWNVBNQWU0W18,201512,993429,3,-3
